地域コード,地域,人口
12226,千葉県 富津市,42465
12227,千葉県 浦安市,171362
12228,千葉県 四街道市,93576
12229,千葉県 袖ケ浦市,63883
12230,千葉県 八街市,67455
12231,千葉県 印西市,102609
12232,千葉県 白井市,62441
12233,千葉県 富里市,49735
12234,千葉県 南房総市,35831
12235,千葉県 匝瑳市,35040
12236,千葉県 香取市,72356
12237,千葉県 山武市,48444
12238,千葉県 いすみ市,35544
12239,千葉県 大網白里市,48129
12322,千葉県 酒々井町,20745
12329,千葉県 栄町,20127
12342,千葉県 神崎町,5816
12347,千葉県 多古町,13735
12349,千葉県 東庄町,13228
12403,千葉県 九十九里町,14639
12409,千葉県 芝山町,7033
12410,千葉県 横芝光町,22075
12421,千葉県 一宮町,11897
12422,千葉県 睦沢町,6760
12423,千葉県 長生村,13803
12424,千葉県 白子町,10305
12426,千葉県 長柄町,6721
12427,千葉県 長南町,7198
12441,千葉県 大多喜町,8885
12443,千葉県 御宿町,6874
12463,千葉県 鋸南町,6993
13101,東京都 千代田区,66680
13102,東京都 中央区,169179
13103,東京都 港区,260486
13104,東京都 新宿区,349385
13105,東京都 文京区,240069
13106,東京都 台東区,211444
13107,東京都 墨田区,272085
13108,東京都 江東区,524310
13109,東京都 品川区,422488
13110,東京都 目黒区,288088
13111,東京都 大田区,748081
13112,東京都 世田谷区,943664
13113,東京都 渋谷区,243883
13114,東京都 中野区,344880
13115,東京都 杉並区,591108
13116,東京都 豊島区,301599
13117,東京都 北区,355213
13118,東京都 荒川区,217475
13119,東京都 板橋区,584483
13120,東京都 練馬区,752608
13121,東京都 足立区,695043
13122,東京都 葛飾区,453093
13123,東京都 江戸川区,697932
13201,東京都 八王子市,579355
13202,東京都 立川市,183581
13203,東京都 武蔵野市,150149
13204,東京都 三鷹市,195391
13205,東京都 青梅市,133535
13206,東京都 府中市,262790
13207,東京都 昭島市,113949
13208,東京都 調布市,242614
13209,東京都 町田市,431079
13210,東京都 小金井市,126074
13211,東京都 小平市,198739
13212,東京都 日野市,190435
13213,東京都 東村山市,151815
13214,東京都 国分寺市,129242
13215,東京都 国立市,77130
13218,東京都 福生市,56414
13219,東京都 狛江市,84772
13220,東京都 東大和市,83901
13221,東京都 清瀬市,76208
13222,東京都 東久留米市,115271
13223,東京都 武蔵村山市,70829
13224,東京都 多摩市,146951
13225,東京都 稲城市,93151
13227,東京都 羽村市,54326
13228,東京都 あきる野市,79292
13229,東京都 西東京市,207388
13303,東京都 瑞穂町,31765
13305,東京都 日の出町,16958
13307,東京都 檜原村,2003
13308,東京都 奥多摩町,4750
13361,東京都 大島町,7102
13362,東京都 利島村,327
13363,東京都 新島村,2441
13364,東京都 神津島村,1855
13381,東京都 三宅村,2273
13382,東京都 御蔵島村,323
13401,東京都 八丈町,7042
13402,東京都 青ヶ島村,169
13421,東京都 小笠原村,2929
14100,神奈川県 横浜市,3777491
14130,神奈川県 川崎市,1538262
14150,神奈川県 相模原市,725493
14201,神奈川県 横須賀市,388078
14203,神奈川県 平塚市,258422
14204,神奈川県 鎌倉市,172710
14205,神奈川県 藤沢市,436905
14206,神奈川県 小田原市,188856
14207,神奈川県 茅ヶ崎市,242389
14208,神奈川県 逗子市,57060
14210,神奈川県 三浦市,42069
14211,神奈川県 秦野市,162439
14212,神奈川県 厚木市,223705
14213,神奈川県 大和市,239169
14214,神奈川県 伊勢原市,101780
14215,神奈川県 海老名市,136516
14216,神奈川県 座間市,132325
14217,神奈川県 南足柄市,40841
14218,神奈川県 綾瀬市,83913
14301,神奈川県 葉山町,31665
14321,神奈川県 寒川町,48348
14341,神奈川県 大磯町,31634
14342,神奈川県 二宮町,27564
14361,神奈川県 中井町,9300
14362,神奈川県 大井町,17129
14363,神奈川県 松田町,10836
14364,神奈川県 山北町,9761
14366,神奈川県 開成町,18329
14382,神奈川県 箱根町,11293
14383,神奈川県 真鶴町,6722
14384,神奈川県 湯河原町,23426
14401,神奈川県 愛川町,39869
14402,神奈川県 清川村,3038
15100,新潟県 新潟市,789275
15202,新潟県 長岡市,266936
15204,新潟県 三条市,94642
15205,新潟県 柏崎市,81526
15206,新潟県 新発田市,94927
15208,新潟県 小千谷市,34096
15209,新潟県 加茂市,25441
15210,新潟県 十日町市,49820
15211,新潟県 見附市,39237
15212,新潟県 村上市,57418
15213,新潟県 燕市,77201
15216,新潟県 糸魚川市,40765
15217,新潟県 妙高市,30383
15218,新潟県 五泉市,47625
15222,新潟県 上越市,188047
15223,新潟県 阿賀野市,40696
15224,新潟県 佐渡市,51492
15225,新潟県 魚沼市,34483
15226,新潟県 南魚沼市,54851
15227,新潟県 胎内市,28509
15307,新潟県 聖籠町,14259
15342,新潟県 弥彦村,7705
15361,新潟県 田上町,11227
15385,新潟県 阿賀町,9965
15405,新潟県 出雲崎町,4113
15461,新潟県 湯沢町,7767
15482,新潟県 津南町,8989
15504,新潟県 刈羽村,4380
15581,新潟県 関川村,5144
15586,新潟県 粟島浦村,353
16201,富山県 富山市,413938
16202,富山県 高岡市,166393
16204,富山県 魚津市,40535
16205,富山県 氷見市,43950
16206,富山県 滑川市,32349
